date,meantemp
2013/1/1,10
2013/1/2,7.4
2013/1/3,7.166666667
2013/1/4,8.666666667
2013/1/5,6
2013/1/6,7
2013/1/7,7
2013/1/8,8.857142857
2013/1/9,14
2013/1/10,11
2013/1/11,15.71428571
2013/1/12,14
2013/1/13,15.83333333
2013/1/14,12.83333333
2013/1/15,14.71428571
2013/1/16,13.83333333
2013/1/17,16.5
2013/1/18,13.83333333
2013/1/19,12.5
2013/1/20,11.28571429
2013/1/21,11.2
2013/1/22,9.5
2013/1/23,14
2013/1/24,13.83333333
2013/1/25,12.25
2013/1/26,12.66666667
2013/1/27,12.85714286
2013/1/28,14.83333333
2013/1/29,14.125
2013/1/30,14.71428571
2013/1/31,16.2
2013/2/1,16
2013/2/2,16.28571429
2013/2/3,18
2013/2/4,17.42857143
2013/2/5,16.625
2013/2/6,16.66666667
2013/2/7,15.6
2013/2/8,14
2013/2/9,15.42857143
2013/2/10,15.25
2013/2/11,15.875
2013/2/12,15.33333333
2013/2/13,16.28571429
2013/2/14,17.33333333
2013/2/15,19.16666667
2013/2/16,14.42857143
2013/2/17,13.66666667
2013/2/18,15.6
2013/2/19,15.85714286
2013/2/20,17.71428571
2013/2/21,20
2013/2/22,20.5
2013/2/23,17.42857143
2013/2/24,16.85714286
2013/2/25,16.875
2013/2/26,17.85714286
2013/2/27,20.8
2013/2/28,19.42857143
2013/3/1,17.33333333
2013/3/2,19
2013/3/3,19.33333333
2013/3/4,17.6
2013/3/5,20.875
2013/3/6,20.85714286
2013/3/7,23.42857143
2013/3/8,24.16666667
2013/3/9,25.42857143
2013/3/10,23.14285714
2013/3/11,24
2013/3/12,23.5
2013/3/13,21.5
2013/3/14,22.33333333
2013/3/15,24.16666667
2013/3/16,20.33333333
2013/3/17,22.66666667
2013/3/18,23.42857143
2013/3/19,22.5
2013/3/20,29.16666667
2013/3/21,23.83333333
2013/3/22,25.25
2013/3/23,27.375
2013/3/24,27
2013/3/25,23.5
2013/3/26,24.14285714
2013/3/27,21
2013/3/28,22.42857143
2013/3/29,21.25
2013/3/30,23.5
2013/3/31,23.2
2013/4/1,25.375
2013/4/2,25.16666667
2013/4/3,26.2
2013/4/4,24.6
2013/4/5,25.6
2013/4/6,25.85714286
2013/4/7,29.14285714
2013/4/8,28.71428571
2013/4/9,30.16666667
2013/4/10,30
2013/4/11,30
2013/4/12,28.85714286
2013/4/13,30.2
2013/4/14,28.25
2013/4/15,28.25
2013/4/16,32.125
2013/4/17,29.2
2013/4/18,30.28571429
2013/4/19,28.28571429
2013/4/20,30.625
2013/4/21,27.66666667
2013/4/22,27.375
2013/4/23,28.625
2013/4/24,30.28571429
2013/4/25,31.14285714
2013/4/26,29.875
2013/4/27,31.14285714
2013/4/28,30.57142857
2013/4/29,32.125
2013/4/30,31.14285714
2013/5/1,31.85714286
2013/5/2,29.83333333
2013/5/3,28.57142857
2013/5/4,32.85714286
2013/5/5,32.625
2013/5/6,32.75
2013/5/7,32.875
2013/5/8,34.5
2013/5/9,34.28571429
2013/5/10,34
2013/5/11,30.75
2013/5/12,29.85714286
2013/5/13,31.71428571
2013/5/14,32.28571429
2013/5/15,33
2013/5/16,33
2013/5/17,32.83333333
2013/5/18,31.4
2013/5/19,35.33333333
2013/5/20,36.4
2013/5/21,36
2013/5/22,36.75
2013/5/23,37.5
2013/5/24,38.42857143
2013/5/25,38.71428571
2013/5/26,37.8
2013/5/27,35.85714286
2013/5/28,35.33333333
2013/5/29,34.14285714
2013/5/30,32.2
2013/5/31,33.625
2013/6/1,32
2013/6/2,32.4
2013/6/3,35.6
2013/6/4,35.85714286
2013/6/5,37.16666667
2013/6/6,31.28571429
2013/6/7,34
2013/6/8,34.2
2013/6/9,36.16666667
2013/6/10,36.625
2013/6/11,30.16666667
2013/6/12,34.14285714
2013/6/13,29.83333333
2013/6/14,30.14285714
2013/6/15,30.71428571
2013/6/16,27
2013/6/17,26.875
2013/6/18,28.4
2013/6/19,29.85714286
2013/6/20,33
2013/6/21,34.83333333
2013/6/22,35.6
2013/6/23,35.16666667
2013/6/24,33.14285714
2013/6/25,30.57142857
2013/6/26,30.66666667
2013/6/27,31.42857143
2013/6/28,31.5
2013/6/29,33.25
2013/6/30,32.83333333
2013/7/1,33.85714286
2013/7/2,33.14285714
2013/7/3,31.57142857
2013/7/4,32.375
2013/7/5,32.8
2013/7/6,31
2013/7/7,31.16666667
2013/7/8,29.83333333
2013/7/9,29
2013/7/10,29.75
2013/7/11,32.5
2013/7/12,28.875
2013/7/13,31.75
2013/7/14,30.75
2013/7/15,31.75
2013/7/16,29.875
2013/7/17,31.125
2013/7/18,31.75
2013/7/19,30.5
2013/7/20,26.83333333
2013/7/21,28.2
2013/7/22,29.5
2013/7/23,31.85714286
2013/7/24,29.71428571
2013/7/25,28.33333333
2013/7/26,30
2013/7/27,30.14285714
2013/7/28,32.28571429
2013/7/29,31
2013/7/30,30.5
2013/7/31,28.83333333
2013/8/1,30
2013/8/2,31.57142857
2013/8/3,32.5
2013/8/4,32.5
2013/8/5,29.5
2013/8/6,27.16666667
2013/8/7,28.375
2013/8/8,28.5
2013/8/9,27.16666667
2013/8/10,29.42857143
2013/8/11,30
2013/8/12,29.5
2013/8/13,30.75
2013/8/14,29.66666667
2013/8/15,27.71428571
2013/8/16,26.6
2013/8/17,27.42857143
2013/8/18,28.33333333
2013/8/19,28.16666667
2013/8/20,27.375
2013/8/21,28.33333333
2013/8/22,29.16666667
2013/8/23,31.28571429
2013/8/24,32
2013/8/25,29
2013/8/26,32
2013/8/27,32.14285714
2013/8/28,30.14285714
2013/8/29,31.5
2013/8/30,29.16666667
2013/8/31,29
2013/9/1,30
2013/9/2,31.85714286
2013/9/3,32.75
2013/9/4,31.71428571
2013/9/5,31.66666667
2013/9/6,30.57142857
2013/9/7,30.83333333
2013/9/8,28
2013/9/9,31
2013/9/10,29.66666667
2013/9/11,30.85714286
2013/9/12,31.16666667
2013/9/13,31.14285714
2013/9/14,30.5
2013/9/15,31.625
2013/9/16,29.66666667
2013/9/17,29.25
2013/9/18,29.14285714
2013/9/19,29.8
2013/9/20,28.66666667
2013/9/21,25.2
2013/9/22,28.33333333
2013/9/23,30.28571429
2013/9/24,30.75
2013/9/25,28.57142857
2013/9/26,28.2
2013/9/27,29
2013/9/28,30
2013/9/29,28.14285714
2013/9/30,26.85714286
2013/10/1,28.28571429
2013/10/2,29.2
2013/10/3,28.6
2013/10/4,24.83333333
2013/10/5,28.5
2013/10/6,29.75
2013/10/7,29.71428571
2013/10/8,29.2
2013/10/9,30.83333333
2013/10/10,29.42857143
2013/10/11,23.85714286
2013/10/12,26.14285714
2013/10/13,27.16666667
2013/10/14,27.71428571
2013/10/15,25.85714286
2013/10/16,26.42857143
2013/10/17,26.85714286
2013/10/18,26.33333333
2013/10/19,24.57142857
2013/10/20,24.33333333
2013/10/21,24.875
2013/10/22,27.8
2013/10/23,25
2013/10/24,23.85714286
2013/10/25,22.8
2013/10/26,23
2013/10/27,22.875
2013/10/28,22.66666667
2013/10/29,23
2013/10/30,22.85714286
2013/10/31,23.66666667
2013/11/1,23.42857143
2013/11/2,21.625
2013/11/3,20.625
2013/11/4,21.16666667
2013/11/5,18.83333333
2013/11/6,20.57142857
2013/11/7,20.14285714
2013/11/8,18
2013/11/9,19.85714286
2013/11/10,16.83333333
2013/11/11,18.85714286
2013/11/12,16.57142857
2013/11/13,17.75
2013/11/14,17.625
2013/11/15,17
2013/11/16,16.625
2013/11/17,15.57142857
2013/11/18,18.5
2013/11/19,17.875
2013/11/20,18.25
2013/11/21,17.875
2013/11/22,17.625
2013/11/23,18.14285714
2013/11/24,19.125
2013/11/25,21.25
2013/11/26,21.25
2013/11/27,19.125
2013/11/28,18.625
2013/11/29,17.75
2013/11/30,17.875
2013/12/1,18
2013/12/2,17.25
2013/12/3,17.5
2013/12/4,17.14285714
2013/12/5,17.14285714
2013/12/6,16.125
2013/12/7,16
2013/12/8,16.5
2013/12/9,16.125
2013/12/10,15.5
2013/12/11,16.625
2013/12/12,17.75
2013/12/13,17.14285714
2013/12/14,16.14285714
2013/12/15,15.5
2013/12/16,15.25
2013/12/17,14.75
2013/12/18,14.875
2013/12/19,16.125
2013/12/20,15.375
2013/12/21,14.75
2013/12/22,15.25
2013/12/23,14.25
2013/12/24,13.5
2013/12/25,13.66666667
2013/12/26,12.125
2013/12/27,11.875
2013/12/28,10.875
2013/12/29,10.57142857
2013/12/30,12.375
2013/12/31,14.5
2014/1/1,13.375
2014/1/2,11
2014/1/3,12.5
2014/1/4,12.875
2014/1/5,12.375
2014/1/6,11.42857143
2014/1/7,12.14285714
2014/1/8,11.875
2014/1/9,12.83333333
2014/1/10,12.375
2014/1/11,12.125
2014/1/12,12.875
2014/1/13,14
2014/1/14,14.875
2014/1/15,12
2014/1/16,12.28571429
2014/1/17,12
2014/1/18,12.5
2014/1/19,14.5
2014/1/20,14.625
2014/1/21,13.57142857
2014/1/22,15.25
2014/1/23,15.625
2014/1/24,13.875
2014/1/25,11.75
2014/1/26,14.375
2014/1/27,16.625
2014/1/28,16.625
2014/1/29,14.875
2014/1/30,14.5
2014/1/31,14.75
2014/2/1,14
2014/2/2,15.25
2014/2/3,18.42857143
2014/2/4,18.85714286
2014/2/5,17
2014/2/6,18.5
2014/2/7,19.625
2014/2/8,13.625
2014/2/9,12.875
2014/2/10,12.625
2014/2/11,13.375
2014/2/12,13.25
2014/2/13,15.25
2014/2/14,13
2014/2/15,12.375
2014/2/16,13.5
2014/2/17,15.125
2014/2/18,15.25
2014/2/19,15.125
2014/2/20,16.125
2014/2/21,17.125
2014/2/22,16.625
2014/2/23,16.5
2014/2/24,16.375
2014/2/25,18.125
2014/2/26,18.75
2014/2/27,18.625
2014/2/28,15.625
2014/3/1,16.14285714
2014/3/2,16.125
2014/3/3,17.875
2014/3/4,18.75
2014/3/5,18.875
2014/3/6,18.375
2014/3/7,18.5
2014/3/8,19.875
2014/3/9,22
2014/3/10,20
2014/3/11,20.71428571
2014/3/12,20
2014/3/13,19
2014/3/14,19.625
2014/3/15,21.625
2014/3/16,23.125
2014/3/17,26.25
2014/3/18,24.85714286
2014/3/19,21.75
2014/3/20,21.5
2014/3/21,22.5
2014/3/22,25
2014/3/23,22.75
2014/3/24,22.375
2014/3/25,24.625
2014/3/26,25.125
2014/3/27,23.5
2014/3/28,24.42857143
2014/3/29,25.875
2014/3/30,24.125
2014/3/31,24.125
2014/4/1,24.875
2014/4/2,26.75
2014/4/3,25
2014/4/4,25.85714286
2014/4/5,27.375
2014/4/6,30.125
2014/4/7,27.25
2014/4/8,25.75
2014/4/9,25.75
2014/4/10,26.375
2014/4/11,28.14285714
2014/4/12,29.125
2014/4/13,26.875
2014/4/14,27.625
2014/4/15,29
2014/4/16,27.125
2014/4/17,26.375
2014/4/18,24.25
2014/4/19,25.625
2014/4/20,27
2014/4/21,28
2014/4/22,29.375
2014/4/23,29.125
2014/4/24,29.375
2014/4/25,30.625
2014/4/26,31.5
2014/4/27,30.625
2014/4/28,31.5
2014/4/29,32.125
2014/4/30,33.25
2014/5/1,34.875
2014/5/2,34.375
2014/5/3,31.75
2014/5/4,31.875
2014/5/5,29.75
2014/5/6,29.57142857
2014/5/7,31.75
2014/5/8,31.375
2014/5/9,30.5
2014/5/10,30
2014/5/11,29.625
2014/5/12,28
2014/5/13,25.25
2014/5/14,26.875
2014/5/15,29.5
2014/5/16,31.125
2014/5/17,29.875
2014/5/18,31.5
2014/5/19,32.375
2014/5/20,31.125
2014/5/21,33
2014/5/22,33.25
2014/5/23,34.625
2014/5/24,31.5
2014/5/25,31.5
2014/5/26,30.125
2014/5/27,31.875
2014/5/28,33.625
2014/5/29,35.25
2014/5/30,33.125
2014/5/31,34.625
2014/6/1,32.75
2014/6/2,32.75
2014/6/3,34.875
2014/6/4,35.25
2014/6/5,36.875
2014/6/6,37.5
2014/6/7,38.5
2014/6/8,37.625
2014/6/9,37.875
2014/6/10,37.25
2014/6/11,37.625
2014/6/12,32.875
2014/6/13,30.25
2014/6/14,30.5
2014/6/15,33.875
2014/6/16,36.375
2014/6/17,36.875
2014/6/18,33.875
2014/6/19,35.75
2014/6/20,38
2014/6/21,36.875
2014/6/22,34.5
2014/6/23,32.125
2014/6/24,33
2014/6/25,32.25
2014/6/26,32.5
2014/6/27,34.75
2014/6/28,34.875
2014/6/29,33
2014/6/30,32
2014/7/1,31.375
2014/7/2,29.5
2014/7/3,28.875
2014/7/4,31.38888889
2014/7/5,34.70588235
2014/7/6,30.625
2014/7/7,34
2014/7/8,35
2014/7/9,36
2014/7/10,36.125
2014/7/11,36.625
2014/7/12,35.875
2014/7/13,31.625
2014/7/14,32.375
2014/7/15,33.125
2014/7/16,32.625
2014/7/17,30.75
2014/7/18,27.25
2014/7/19,29.875
2014/7/20,30.875
2014/7/21,32.125
2014/7/22,31.625
2014/7/23,30.625
2014/7/24,30.5
2014/7/25,30.75
2014/7/26,32.5
2014/7/27,31.71428571
2014/7/28,30
2014/7/29,30.25
2014/7/30,31.875
2014/7/31,32.5
2014/8/1,33.25
2014/8/2,30.125
2014/8/3,31.5
2014/8/4,30.5
2014/8/5,29.75
2014/8/6,32.125
2014/8/7,31.125
2014/8/8,31
2014/8/9,29.23529412
2014/8/10,28.5
2014/8/11,31.125
2014/8/12,32.125
2014/8/13,32.125
2014/8/14,30.375
2014/8/15,31.125
2014/8/16,30.42857143
2014/8/17,31.375
2014/8/18,31.875
2014/8/19,33
2014/8/20,33.25
2014/8/21,32.5
2014/8/22,33
2014/8/23,33.125
2014/8/24,33.125
2014/8/25,33.875
2014/8/26,34.125
2014/8/27,33.85714286
2014/8/28,29.625
2014/8/29,30.375
2014/8/30,28.625
2014/8/31,27.625
2014/9/1,29.42857143
2014/9/2,29.25
2014/9/3,28.625
2014/9/4,27.875
2014/9/5,26.5
2014/9/6,28.5
2014/9/7,31
2014/9/8,31.25
2014/9/9,31
2014/9/10,28.75
2014/9/11,26.57142857
2014/9/12,28.5
2014/9/13,29.375
2014/9/14,29.125
2014/9/15,29.625
2014/9/16,30.625
2014/9/17,30.625
2014/9/18,30.5
2014/9/19,31
2014/9/20,31.125
2014/9/21,30.5
2014/9/22,30.625
2014/9/23,31
2014/9/24,29.625
2014/9/25,30
2014/9/26,30
2014/9/27,30.5
2014/9/28,30.25
2014/9/29,30.5
2014/9/30,30.625
2014/10/1,30.42857143
2014/10/2,30.375
2014/10/3,30.5
2014/10/4,31
2014/10/5,30.625
2014/10/6,30.625
2014/10/7,31
2014/10/8,28.75
2014/10/9,27.625
2014/10/10,27.125
2014/10/11,25.71428571
2014/10/12,26
2014/10/13,27.625
2014/10/14,24.5
2014/10/15,24.5
2014/10/16,23
2014/10/17,25
2014/10/18,24
2014/10/19,23.75
2014/10/20,24.75
2014/10/21,25.625
2014/10/22,25.75
2014/10/23,25.25
2014/10/24,25.5
2014/10/25,25.25
2014/10/26,25.125
2014/10/27,24.875
2014/10/28,25.125
2014/10/29,24.75
2014/10/30,23.875
2014/10/31,23.375
2014/11/1,22.5
2014/11/2,22.875
2014/11/3,23.375
2014/11/4,23.625
2014/11/5,22.75
2014/11/6,23
2014/11/7,24
2014/11/8,23.875
2014/11/9,24.125
2014/11/10,21.375
2014/11/11,19.25
2014/11/12,19.625
2014/11/13,18.5
2014/11/14,18.375
2014/11/15,18.625
2014/11/16,18.25
2014/11/17,17.75
2014/11/18,17.625
2014/11/19,17.5
2014/11/20,20.375
2014/11/21,18.25
2014/11/22,19.875
2014/11/23,17.125
2014/11/24,16.875
2014/11/25,16.5
2014/11/26,19.625
2014/11/27,18.125
2014/11/28,19.375
2014/11/29,20.25
2014/11/30,19.75
2014/12/1,20
2014/12/2,21.375
2014/12/3,25
2014/12/4,21.25
2014/12/5,17.75
2014/12/6,18.25
2014/12/7,17.25
2014/12/8,17
2014/12/9,15.28571429
2014/12/10,21.5
2014/12/11,19.625
2014/12/12,17.5
2014/12/13,16
2014/12/14,16.875
2014/12/15,16.625
2014/12/16,17.75
2014/12/17,12.875
2014/12/18,11.75
2014/12/19,11.75
2014/12/20,11.25
2014/12/21,9.5
2014/12/22,9.375
2014/12/23,9.625
2014/12/24,9.875
2014/12/25,9.25
2014/12/26,10.75
2014/12/27,10.375
2014/12/28,9
2014/12/29,11.125
2014/12/30,11.625
2014/12/31,12.375
2015/1/1,14.75
2015/1/2,14.875
2015/1/3,15.125
2015/1/4,14.125
2015/1/5,14
2015/1/6,12
2015/1/7,9.625
2015/1/8,10
2015/1/9,10.625
2015/1/10,11.125
2015/1/11,11
2015/1/12,10.625
2015/1/13,12.25
2015/1/14,12
2015/1/15,12.375
2015/1/16,13
2015/1/17,13.5
2015/1/18,13
2015/1/19,13.75
2015/1/20,13.375
2015/1/21,13.25
2015/1/22,12.625
2015/1/23,14.625
2015/1/24,12.375
2015/1/25,13.25
2015/1/26,13.75
2015/1/27,13.25
2015/1/28,11.71428571
2015/1/29,11.5
2015/1/30,12.75
2015/1/31,13.75
2015/2/1,15
2015/2/2,17.375
2015/2/3,16.75
2015/2/4,14.625
2015/2/5,14.625
2015/2/6,15.125
2015/2/7,15.875
2015/2/8,16.625
2015/2/9,16.875
2015/2/10,15.75
2015/2/11,16
2015/2/12,15.5
2015/2/13,17.25
2015/2/14,19.375
2015/2/15,18.875
2015/2/16,20.625
2015/2/17,21.14285714
2015/2/18,21.25
2015/2/19,22.75
2015/2/20,22.75
2015/2/21,21.875
2015/2/22,22.14285714
2015/2/23,21.5
2015/2/24,22.875
2015/2/25,23.125
2015/2/26,20
2015/2/27,19.25
2015/2/28,21.25
2015/3/1,17.375
2015/3/2,17.5
2015/3/3,16.25
2015/3/4,16.75
2015/3/5,18.75
2015/3/6,20
2015/3/7,18.375
2015/3/8,19.5
2015/3/9,18.125
2015/3/10,17.75
2015/3/11,18.25
2015/3/12,20.5
